"IfcGUID","Family","Type","Level","Room: Number","KNX Address","Assembly_code","Assembly_description"
"1bDMdL0k55X8oOMH5VKwp3","KNX Device","Thing","3ET","320","1/4/103","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKvNp","KNX Device","Thing","3ET","321","1/4/104","D3060","Controls & Instrumentation"
"2j2ihXlTfEB8xH0I2nuFU7","KNX Device","Thing","3ET","322","1/4/105","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKvJ4","KNX Device","Thing","3ET","323","1/4/106","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKv8h","KNX Device","Thing","3ET","324","1/4/107","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKvTR","KNX Device","Thing","3ET","325","1/4/108","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKvAY","KNX Device","Thing","3ET","326","1/4/109","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKvCD","KNX Device","Thing","3ET","328","1/4/110","D3060","Controls & Instrumentation"
"2j2ihXlTfEB8xH0I2nuFca","KNX Device","Thing","3ET","south-corridor","1/4/111","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKvFY","KNX Device","Thing","3ET","332","1/4/112","D3060","Controls & Instrumentation"
"2qPE$7pEX48hoi_kq45Sck","KNX Device","Thing","3ET","334","1/4/113","D3060","Controls & Instrumentation"
"2j2ihXlTfEB8xH0I2nuFhK","KNX Device","Thing","3ET","waiting-area","1/4/114","D3060","Controls & Instrumentation"
"2j2ihXlTfEB8xH0I2nuFhk","KNX Device","Thing","3ET","south-corridor","1/4/115","D3060","Controls & Instrumentation"
"2j2ihXlTfEB8xH0I2nuFiz","KNX Device","Thing","3ET","north-corridor","1/4/115","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKv6D","KNX Device","Thing","3ET","330","1/4/116","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKu70","KNX Device","Thing","3ET","301","1/5/7","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKvb5","KNX Device","Thing","3ET","302","1/5/8","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKuUk","KNX Device","Thing","3ET","303","1/5/9","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKvmz","KNX Device","Thing","3ET","304","1/5/10","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKuHI","KNX Device","Thing","3ET","305","1/5/11","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKvoU","KNX Device","Thing","3ET","306","1/5/12","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKuKi","KNX Device","Thing","3ET","307","1/5/13","D3060","Controls & Instrumentation"
"2j2ihXlTfEB8xH0I2nuFrb","KNX Device","Thing","3ET","308","1/5/14","D3060","Controls & Instrumentation"
"2j2ihXlTfEB8xH0I2nuFu8","KNX Device","Thing","3ET","300","1/5/15","D3060","Controls & Instrumentation"
