"IfcGUID","Level","ZoneName","Number","Name","IfcExportAs","Department","Occupancy","Area","Volume","Perimeter","Unbounded Height"
"1NQaYx$l9Fxwk17bLoURtU","5ET","5ET_South","5ETSTS1","Technical Shaft","IfcSpace","Local technique","Unoccupied","3 m²","13.02 m³","9.29","4.00"
"1NQaYx$l9Fxwk17bLoURsf","5ET","5ET_South","5ETSTS2","Technical Shaft","IfcSpace","Local technique","Unoccupied","4 m²","13.46 m³","8.55","4.00"
"1y$B4Uq994ePTP2tD$diIT","RDC","RDC_North","006","Ventilation Room","IfcSpace","Local technique","Unoccupied","30 m²","66.51 m³","27.12","2.45"
"2yFdxy3_L2bf88kM4higWX","6ET","6ET_North","6ETNTS1","Technical Shaft","IfcSpace","Local technique","Unoccupied","3 m²","9.54 m³","9.02","3.20"
"2yFdxy3_L2bf88kM4higZL","6ET","6ET_North","6ETNTS2","Technical Shaft","IfcSpace","Local technique","Unoccupied","2 m²","7.65 m³","6.68","3.20"
"1y$B4Uq994ePTP2tD$diI2","RDC","6ET_Floor","6ETST0","Technical Shaft","IfcSpace","Local technique","Unoccupied","6 m²","151.51 m³","9.52","26.98"
"2yFdxy3_L2bf88kM4higZS","6ET","6ET_South","6ETSTS1","Technical Shaft","IfcSpace","Local technique","Unoccupied","4 m²","12.17 m³","9.67","3.20"
"2yFdxy3_L2bf88kM4higZQ","6ET","6ET_South","6ETSTS2","Technical Shaft","IfcSpace","Local technique","Unoccupied","2 m²","7.82 m³","6.73","3.20"
"1y$B4Uq994ePTP2tD$digG","ENT","ENT_North","007","Technical Room","IfcSpace","Local technique","Unoccupied","23 m²","56.65 m³","19.36","2.66"
"1y$B4Uq994ePTP2tD$digp","ENT","ENT_North","007B","Technical Room","IfcSpace","Personnel","Occupied","21 m²","52.46 m³","18.52","2.66"
"1y$B4Uq994ePTP2tD$dikD","RDC","RDC_Floor","008","Airlock","IfcSpace","","Occupied","5 m²","27.66 m³","12.31","5.11"
"1y$B4Uq994ePTP2tD$digc","ENT","ENT_North","009","Airlock","IfcSpace","Public","Occupied","5 m²","13.18 m³","9.33","2.66"
"1y$B4Uq994ePTP2tD$digj","ENT","ENT_North","011","Corridor","IfcSpace","Public","Occupied","16 m²","38.98 m³","21.43","2.66"
"1y$B4Uq994ePTP2tD$dik7","RDC","RDC_North","012","Meeting Room","IfcSpace","Public","Occupied","225 m²","541.75 m³","65.00","2.45"
"1y$B4Uq994ePTP2tD$diGY","RDC","RDC_South","018","Women Bathroom","IfcSpace","Public","Occupied","9 m²","18.84 m³","12.48","2.45"
"1y$B4Uq994ePTP2tD$diGB","RDC","RDC_South","019","Airlock","IfcSpace","Public","Occupied","8 m²","17.03 m³","12.60","2.45"
"1y$B4Uq994ePTP2tD$diNu","RDC","RDC_South","020","Office","IfcSpace","Personnel","Occupied","23 m²","46.80 m³","19.04","2.45"
"1y$B4Uq994ePTP2tD$diHh","RDC","RDC_South","021","Storage Room","IfcSpace","Personnel","Occupied","7 m²","15.35 m³","10.80","2.45"
"0h1417sob1_w6opPcsjJsj","RDC","RDC_South","022","Amphitheatre","IfcSpace","Public","Occupied","210 m²","348.13 m³","65.30","2.45"
"0h1417sob1_w6opPcsjJs$","ENT","ENT_South","022","Amphitheatre","IfcSpace","Public","Occupied","259 m²","569.21 m³","78.98","2.66"
"1y$B4Uq994ePTP2tD$diHr","RDC","RDC_South","023","Men Bathroom","IfcSpace","Public","Occupied","7 m²","13.66 m³","10.21","2.45"
"1y$B4Uq994ePTP2tD$diJq","RDC","RDC_South","024","Corridor","IfcSpace","Public","Occupied","9 m²","19.28 m³","18.46","2.45"
"1y$B4Uq994ePTP2tD$diHy","RDC","RDC_South","025","Storage Room","IfcSpace","Personnel","Occupied","5 m²","10.92 m³","11.35","2.45"
"1y$B4Uq994ePTP2tD$digA","ENT","ENT_South","026","Airlock","IfcSpace","Public","Occupied","7 m²","15.41 m³","12.14","2.66"
"1y$B4Uq994ePTP2tD$dikd","ENT","ENT_South","030","Projection Booth","IfcSpace","Personnel","Occupied","8 m²","17.05 m³","12.96","2.66"
"0h1417sob1_w6opPcsjJqc","RDC","RDC_South","031-1","Technical Room","IfcSpace","Local technique","Unoccupied","15 m²","34.72 m³","17.28","3.20"
"0h1417sob1_w6opPcsjJqV","RDC","RDC_South","031-2","Technical Room","IfcSpace","Personnel","Unoccupied","35 m²","78.38 m³","31.00","3.20"
"0h1417sob1_w6opPcsjJq8","RDC","ENT_South","032-1","Technical Room","IfcSpace","","Occupied","30 m²","148.16 m³","21.88","5.11"
"0h1417sob1_w6opPcsjJrI","RDC","RDC_South","032-2","Technical Room","IfcSpace","","Occupied","10 m²","23.21 m³","14.46","3.20"
"0h1417sob1_w6opPcsjJrO","ENT","ENT_South","033","Storage Room","IfcSpace","Personnel","Occupied","59 m²","145.67 m³","34.67","2.66"
"0h1417sob1_w6opPcsjJrY","ENT","ENT_South","034","Storage Room","IfcSpace","Local technique","Unoccupied","32 m²","79.19 m³","22.76","2.66"
"0h1417sob1_w6opPcsjJfq","RDC","RDC_Floor","035","Hall","IfcSpace","Public","Occupied","122 m²","282.28 m³","47.05","2.45"
"1_bgsf_bP5g97UQjHnvxyf","1ET","1ET_North","101F","Women Bathroom","IfcSpace","Public","Occupied","9 m²","21.99 m³","15.03","3.67"
"1_bgsf_bP5g97UQjHnvxym","1ET","1ET_North","101H","Men Bathroom","IfcSpace","Public","Occupied","5 m²","12.89 m³","11.61","3.67"
"1_bgsf_bP5g97UQjHnvx$b","1ET","1ET_North","103","Computer Classroom","IfcSpace","Public","Occupied","51 m²","130.89 m³","30.80","3.67"
"1_bgsf_bP5g97UQjHnvxxP","1ET","1ET_North","104","Amphitheatre","IfcSpace","Public","Occupied","119 m²","304.62 m³","68.37","3.67"
"1_bgsf_bP5g97UQjHnvx$i","1ET","1ET_North","111","Computer Classroom","IfcSpace","Public","Occupied","49 m²","126.09 m³","30.70","3.67"
"1_bgsf_bP5g97UQjHnvxxM","1ET","1ET_North","112","Projection Booth","IfcSpace","Personnel","Occupied","7 m²","16.62 m³","11.98","3.67"
"1_bgsf_bP5g97UQjHnvxvP","1ET","1ET_South","120","Classroom","IfcSpace","Public","Occupied","84 m²","213.98 m³","39.37","3.67"
"1_bgsf_bP5g97UQjHnvxvo","1ET","1ET_South","121","Classroom","IfcSpace","Public","Occupied","55 m²","141.56 m³","31.07","3.67"
"1_bgsf_bP5g97UQjHnvxve","1ET","1ET_South","129","Classroom","IfcSpace","Public","Occupied","65 m²","165.31 m³","33.04","3.67"
"1_bgsf_bP5g97UQjHnvxuC","1ET","1ET_South","131","Men Bathroom","IfcSpace","Public","Occupied","10 m²","24.73 m³","13.24","3.67"
"1_bgsf_bP5g97UQjHnvxur","1ET","1ET_South","132","Classroom","IfcSpace","Public","Occupied","87 m²","222.51 m³","39.20","3.67"
"1_bgsf_bP5g97UQjHnvxxo","1ET","1ET_South","134","Women Bathroom","IfcSpace","Public","Occupied","6 m²","15.93 m³","10.51","3.67"
"1gC2lqngj8hQ9OgWx$763b","2ET","2ET_North","201F","Women Bathroom","IfcSpace","Public","Occupied","6 m²","15.84 m³","10.64","3.64"
"1gC2lqngj8hQ9OgWx$763o","2ET","2ET_North","201H","Men Bathroom","IfcSpace","Public","Occupied","6 m²","14.70 m³","10.37","3.64"
"1gC2lqngj8hQ9OgWx$76S0","2ET","2ET_North","202","Storage Room","IfcSpace","Personnel","Occupied","9 m²","21.31 m³","11.94","3.64"
"1gC2lqngj8hQ9OgWx$76SB","2ET","2ET_North","203","Classroom","IfcSpace","Public","Occupied","46 m²","116.22 m³","28.02","3.64"
"1gC2lqngj8hQ9OgWx$76Sn","2ET","2ET_North","204","Classroom","IfcSpace","Public","Occupied","21 m²","55.05 m³","18.69","3.64"
"1gC2lqngj8hQ9OgWx$76S$","2ET","2ET_North","206","Classroom","IfcSpace","Public","Occupied","44 m²","110.73 m³","28.41","3.64"
"1gC2lqngj8hQ9OgWx$76Sf","2ET","2ET_North","207","Classroom","IfcSpace","Public","Occupied","27 m²","68.99 m³","22.44","3.64"
"1gC2lqngj8hQ9OgWx$76TN","2ET","2ET_North","211","Classroom","IfcSpace","Public","Occupied","44 m²","112.57 m³","27.96","3.64"
"1gC2lqngj8hQ9OgWx$76Sc","2ET","2ET_North","212","Classroom","IfcSpace","Public","Occupied","41 m²","106.17 m³","27.54","3.64"
"1gC2lqngj8hQ9OgWx$76Mm","2ET","2ET_Floor","214","Classroom","IfcSpace","Public","Occupied","69 m²","176.59 m³","35.15","3.64"
"1gC2lqngj8hQ9OgWx$76NT","2ET","2ET_South","220","Classroom","IfcSpace","Public","Occupied","39 m²","100.43 m³","27.53","3.64"
"1gC2lqngj8hQ9OgWx$76MZ","2ET","2ET_South","221","Computer Classroom","IfcSpace","Public","Occupied","57 m²","143.36 m³","31.26","3.64"
