"IfcGUID","Level","Room: Number","Assembly Code","Assembly Description","Family","Type"
"0ImRR5UQf38efws_Jt6Dol","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Doe","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dof","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6E94","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E95","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E96","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E97","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E90","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E91","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E8X","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E8T","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E85","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E8D","ENT","","E2010","Fixed Furnishings","Bureau gradins","43 x 38"
"0ImRR5UQf38efws_Jt6EF8","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6EEW","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6EEe","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6EEG","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6EE4","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6EEC","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6EDq","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E2T","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E2U","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E2V","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E2O","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E2P","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
