"IfcGUID","Family","Type","Assembly_code","Assembly_description","Level","Largeur (m)","Hauteur (m)","From Room: Number","To Room: Number","Heat Transfer Coefficient (U)","Thermal Resistance (R)","Thickness"
"26RvPR7OX7XPFMpPoB2V_l","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","412","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2V_7","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","waiting-area","414","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VzN","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","waiting-area","416","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VyV","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","416","418","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vxx","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","waiting-area","418","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vw$","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","422","south-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vw3","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","423","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VvJ","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","425","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vuh","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","429","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VdR","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","420A","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vcu","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","420B","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VcP","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","426","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VbV","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","424","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VaF","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","430","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VZ3","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","432","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VY5","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","434","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VXN","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","431","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VWj","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","431","431","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VlR","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","431H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vkp","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","401F","401F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vh0","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","401H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Ves","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","401D","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Ve0","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","401F","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VMK","Double (R)","1.63m x 2.04m","C1020","Interior Doors","4ET","1.63","2.04","stairlanding","waiting-area","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"26RvPR7OX7XPFMpPoB2VKW","Double (R)","1.63m x 2.04m","C1020","Interior Doors","4ET","1.63","2.04","411","4ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"26RvPR7OX7XPFMpPoB2VJO","Double (R)","1.63m x 2.04m","C1020","Interior Doors","4ET","1.63","2.04","north-corridor","4ETNTS3","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"26RvPR7OX7XPFMpPoB2VV7","Double (R)","1.63m x 2.04m","C1020","Interior Doors","4ET","1.63","2.04","waiting-area","south-corridor","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"26RvPR7OX7XPFMpPoB2VUB","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","south-corridor","421","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VPH","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","4ET","1.00","2.04","421","4ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"26RvPR7OX7XPFMpPoB2VO5","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","4ET","1.00","2.04","421","4ETSTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"26RvPR7OX7XPFMpPoB2V37","Simple avec alignement","0762 x 2032mm","C10","Interior Construction","4ET","0.76","2.03","401H","401H","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxP8o","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","north-corridor","507","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxP76","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","north-corridor","511","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxP64","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","north-corridor","505","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"3M_k3tesD2zxOT0E0AxP5_","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","5ET","0.86","1.95","north-corridor","503","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
